environment,obstacleTrain,,seedTraining,seedTesting,score,success,bodyChanged
half_cheetah,none,,3,7,3935.55,21.0,"classic"
half_cheetah,none,,3,10,3610.71,19.0,"classic"
half_cheetah,none,,3,13,3841.0,21.0,"classic"
half_cheetah,none,,3,11,3746.83,20.0,"classic"
half_cheetah,none,,3,14,3915.78,21.0,"classic"
half_cheetah,none,,3,15,3806.17,20.0,"classic"
half_cheetah,none,,3,8,3705.57,20.0,"classic"
half_cheetah,none,,3,17,3952.69,21.0,"classic"
half_cheetah,none,,3,12,3936.66,21.0,"classic"
half_cheetah,none,,3,16,3877.42,21.0,"classic"
half_cheetah,none,,3,19,2356.93,12.0,"classic"
half_cheetah,none,,3,18,3801.42,20.0,"classic"
half_cheetah,none,,3,20,3735.7,20.0,"classic"
half_cheetah,none,,3,21,3876.22,21.0,"classic"
half_cheetah,none,,3,22,3944.7,21.0,"classic"
half_cheetah,none,,3,27,3841.77,21.0,"classic"
half_cheetah,none,,4,0,3262.97,17.0,"classic"
half_cheetah,none,,3,26,3821.25,20.0,"classic"
half_cheetah,none,,3,23,3781.52,20.0,"classic"
half_cheetah,none,,3,24,3876.12,21.0,"classic"
half_cheetah,none,,3,29,3850.85,21.0,"classic"
half_cheetah,none,,3,28,3844.88,21.0,"classic"
half_cheetah,none,,3,25,3902.75,21.0,"classic"
half_cheetah,none,,4,1,3344.91,18.0,"classic"
half_cheetah,none,,4,2,3322.58,18.0,"classic"
half_cheetah,none,,4,4,3251.93,17.0,"classic"
half_cheetah,none,,4,3,3302.18,18.0,"classic"
half_cheetah,none,,4,5,3273.88,17.0,"classic"
half_cheetah,none,,4,6,3335.21,18.0,"classic"
half_cheetah,none,,4,7,3249.7,17.0,"classic"
half_cheetah,none,,4,12,3160.67,17.0,"classic"
half_cheetah,none,,4,10,3315.67,18.0,"classic"
half_cheetah,none,,4,13,3227.39,17.0,"classic"
half_cheetah,none,,4,11,3234.56,17.0,"classic"
half_cheetah,none,,4,9,3275.26,17.0,"classic"
half_cheetah,none,,4,14,3301.1,18.0,"classic"
half_cheetah,none,,4,15,3339.3,18.0,"classic"
half_cheetah,none,,4,8,3319.32,18.0,"classic"
half_cheetah,none,,4,17,3292.25,17.0,"classic"
half_cheetah,none,,4,18,3329.14,18.0,"classic"
half_cheetah,none,,4,16,3333.17,18.0,"classic"
half_cheetah,none,,4,19,3271.96,17.0,"classic"
half_cheetah,none,,4,20,3307.53,18.0,"classic"
half_cheetah,none,,4,21,3242.92,17.0,"classic"
half_cheetah,none,,4,22,3287.64,17.0,"classic"
half_cheetah,none,,4,23,3319.68,18.0,"classic"
half_cheetah,none,,4,27,3319.29,18.0,"classic"
half_cheetah,none,,4,26,3263.27,17.0,"classic"
half_cheetah,none,,4,25,3228.77,17.0,"classic"
half_cheetah,none,,4,24,3314.35,18.0,"classic"
half_cheetah,none,,4,29,3330.99,18.0,"classic"
half_cheetah,none,,4,28,3339.36,18.0,"classic"
half_cheetah,none,,0,0,2718.38,15.0,"torso,big"
half_cheetah,none,,0,1,2899.78,16.0,"torso,big"
half_cheetah,none,,0,4,2713.23,15.0,"torso,big"
half_cheetah,none,,0,3,2715.41,15.0,"torso,big"
half_cheetah,none,,0,5,2638.58,15.0,"torso,big"
half_cheetah,none,,0,2,2680.41,15.0,"torso,big"
half_cheetah,none,,0,6,2604.86,15.0,"torso,big"
