environment,obstacleTrain,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,0,2,2,0,127.733,0.0
half_cheetah,0,2,1,8,144.88,0.0
half_cheetah,0,2,2,4,122.836,0.0
half_cheetah,0,2,2,3,124.078,0.0
half_cheetah,0,2,2,1,138.937,0.0
half_cheetah,0,2,1,9,147.24,0.0
half_cheetah,0,2,1,7,144.513,0.0
half_cheetah,0,2,2,6,116.683,0.0
half_cheetah,0,2,2,5,126.715,0.0
half_cheetah,0,2,2,2,140.298,0.0
half_cheetah,0,2,2,7,128.783,0.0
half_cheetah,0,2,2,9,148.897,0.0
half_cheetah,0,2,2,8,123.764,0.0
half_cheetah,0,2,3,1,140.688,0.0
half_cheetah,0,2,3,0,132.079,0.0
half_cheetah,0,2,3,9,132.729,0.0
half_cheetah,0,2,3,2,121.221,0.0
half_cheetah,0,2,3,6,148.244,0.0
half_cheetah,0,2,3,4,92.8005,0.0
half_cheetah,0,2,3,3,137.123,0.0
half_cheetah,0,2,3,5,125.194,0.0
half_cheetah,0,2,4,1,133.318,0.0
half_cheetah,0,2,3,7,60.3998,0.0
half_cheetah,0,2,3,8,30.3689,0.0
half_cheetah,0,2,4,0,104.664,0.0
half_cheetah,0,2,4,3,132.455,0.0
half_cheetah,0,2,4,2,131.319,0.0
half_cheetah,0,2,4,4,123.522,0.0
half_cheetah,0,2,4,6,130.959,0.0
half_cheetah,0,2,4,5,139.282,0.0
half_cheetah,0,2,4,7,134.844,0.0
half_cheetah,0,2,4,8,125.709,0.0
half_cheetah,0,2,4,9,137.787,0.0
half_cheetah,0,3,0,0,65.5887,0.0
half_cheetah,0,3,0,1,74.9966,0.0
half_cheetah,0,3,0,2,60.1094,0.0
half_cheetah,0,3,0,4,54.0008,0.0
half_cheetah,0,3,0,3,54.7116,0.0
half_cheetah,0,3,0,5,51.933,0.0
half_cheetah,0,3,0,6,51.2398,0.0
half_cheetah,0,3,0,9,76.6253,0.0
half_cheetah,0,3,0,8,53.1517,0.0
half_cheetah,0,3,0,7,49.1923,0.0
half_cheetah,0,3,1,0,52.3496,0.0
half_cheetah,0,3,1,1,61.2347,0.0
half_cheetah,0,3,1,2,67.0671,0.0
half_cheetah,0,3,1,4,467.714,2.0
half_cheetah,0,3,1,3,63.6136,0.0
half_cheetah,0,3,1,6,65.2813,0.0
half_cheetah,0,3,1,5,54.1288,0.0
half_cheetah,0,3,1,7,51.5151,0.0
half_cheetah,0,3,1,9,63.9083,0.0
half_cheetah,0,3,2,0,50.0687,0.0
half_cheetah,0,3,1,8,251.837,1.0
half_cheetah,0,3,2,1,61.994,0.0
half_cheetah,0,3,2,2,59.7725,0.0
half_cheetah,0,3,2,3,53.4423,0.0
half_cheetah,0,3,2,4,66.9212,0.0
half_cheetah,0,3,2,5,64.6599,0.0
half_cheetah,0,3,2,6,47.5674,0.0
half_cheetah,0,3,2,8,59.2719,0.0
half_cheetah,0,3,3,0,76.3105,0.0
half_cheetah,0,3,2,9,60.0528,0.0
half_cheetah,0,3,2,7,53.5887,0.0
half_cheetah,0,3,3,1,59.5572,0.0
half_cheetah,0,3,3,2,28.6757,0.0
half_cheetah,0,3,3,3,61.6613,0.0
half_cheetah,0,3,3,4,249.88,1.0
half_cheetah,0,3,3,6,54.8347,0.0
half_cheetah,0,3,3,5,240.397,1.0
half_cheetah,0,3,3,7,-10.8218,0.0
half_cheetah,0,3,3,9,256.241,1.0
half_cheetah,0,3,4,0,54.0748,0.0
half_cheetah,0,3,3,8,55.9565,0.0
half_cheetah,0,3,4,1,63.4157,0.0
half_cheetah,0,3,4,3,54.1407,0.0
half_cheetah,0,3,4,2,62.069,0.0
half_cheetah,0,3,4,4,58.1339,0.0
half_cheetah,0,3,4,5,52.7262,0.0
half_cheetah,0,3,4,6,55.3604,0.0
half_cheetah,0,4,0,0,40.3846,0.0
half_cheetah,0,3,4,7,49.4532,0.0
half_cheetah,0,3,4,9,64.6358,0.0
half_cheetah,0,4,0,1,30.1816,0.0
half_cheetah,0,3,4,8,59.088,0.0
half_cheetah,0,4,0,4,52.0258,0.0
half_cheetah,0,4,0,3,43.3782,0.0
half_cheetah,0,4,0,2,49.3276,0.0
half_cheetah,0,4,0,6,47.6735,0.0
half_cheetah,0,4,0,5,20.1953,0.0
half_cheetah,0,4,0,7,42.9094,0.0
half_cheetah,0,4,1,0,19.8614,0.0
half_cheetah,0,4,0,8,40.5331,0.0
half_cheetah,0,4,0,9,53.9669,0.0
half_cheetah,0,4,1,1,66.4849,0.0
half_cheetah,0,4,1,2,49.1031,0.0
half_cheetah,0,4,1,4,57.4614,0.0
half_cheetah,0,4,1,3,57.6118,0.0
half_cheetah,0,4,1,9,57.4958,0.0
half_cheetah,0,4,1,5,51.274,0.0
half_cheetah,0,4,1,6,22.4362,0.0
half_cheetah,0,4,1,7,45.2973,0.0
half_cheetah,0,4,2,0,46.0874,0.0
half_cheetah,0,4,1,8,37.5461,0.0
half_cheetah,0,4,2,1,52.9151,0.0
half_cheetah,0,4,2,2,55.5513,0.0
half_cheetah,0,4,2,3,43.8734,0.0
half_cheetah,0,4,2,4,42.144,0.0
half_cheetah,0,4,2,5,46.1949,0.0
half_cheetah,0,4,2,6,43.9662,0.0
half_cheetah,0,4,2,7,42.9211,0.0
half_cheetah,0,4,2,9,62.7905,0.0
half_cheetah,0,4,2,8,48.0953,0.0
half_cheetah,0,4,3,0,24.6864,0.0
half_cheetah,0,4,3,1,47.395,0.0
half_cheetah,0,4,3,5,41.5128,0.0
half_cheetah,0,4,3,3,54.1346,0.0
half_cheetah,0,4,3,4,37.0878,0.0
half_cheetah,0,4,3,6,38.1586,0.0
half_cheetah,0,4,3,2,57.8137,0.0
half_cheetah,0,4,3,7,38.8694,0.0
half_cheetah,0,4,3,8,40.3362,0.0
half_cheetah,0,4,3,9,59.4227,0.0
half_cheetah,0,4,4,0,22.1345,0.0
half_cheetah,0,4,4,1,27.7055,0.0
half_cheetah,0,4,4,3,56.6729,0.0
half_cheetah,0,4,4,4,23.1513,0.0
half_cheetah,0,4,4,6,18.5005,0.0
half_cheetah,0,4,4,2,29.3938,0.0
half_cheetah,0,4,4,5,19.3394,0.0
half_cheetah,0,4,4,7,18.2771,0.0
half_cheetah,1,0,0,0,71.7076,0.0
half_cheetah,0,4,4,8,30.7409,0.0
half_cheetah,0,4,4,9,31.9354,0.0
half_cheetah,1,0,0,1,81.0996,0.0
half_cheetah,1,0,0,2,77.5644,0.0
half_cheetah,1,0,0,3,73.7845,0.0
half_cheetah,1,0,0,4,77.2871,0.0
half_cheetah,1,0,0,5,67.5313,0.0
half_cheetah,1,0,0,6,71.1503,0.0
half_cheetah,1,0,0,7,72.1235,0.0
half_cheetah,1,0,0,8,77.4379,0.0
half_cheetah,1,0,0,9,85.0853,0.0
half_cheetah,1,0,1,0,65.6394,0.0
