,Gen,NbVert,NbActR,NbTeamR,MinTraining,AvgTraining,MaxTraining,MinTrainingScore,AvgTrainingScore,MaxTrainingScore,MinValidation,AvgValidation,MaxValidation,MinValidationScore,AvgValidationScore,MaxValidationScore,T_eval,T_valid,T_decim,T_mutat,T_total,ValidationScoreObs0,ValidationScoreObs01,ValidationScoreObs1,ValidationSuccessObs0,ValidationSuccessObs01,ValidationSuccessObs1,environment,seed,folder,Type,taskGroup,ValidationScoreObs014,ValidationScoreObs4,ValidationSuccessObs014,ValidationSuccessObs4
0,0,1000,1000,0,-1143.48,-135.36,-3.96,-882.74,-12.03,79.72,-210.03,-98.5,-17.67,-95.19,27.27,79.7,8.07,8.98,0.04,9.06,17.23,81.4907,78.5548,84.581,0.0,0.0,0.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
1,50,1000,1000,0,-1203.94,-212.07,-59.13,-756.4,67.17,171.91,-13.26,-136.35,-52.59,49.41,143.03,202.26,8.95,8.5,0.03,8.55,480.26,72.6988,71.5061,468.794,0.0,0.0,1.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
2,100,1000,1000,0,-850.64,-40.1,30.24,-484.77,238.04,361.69,-237.22,-100.05,-60.04,64.97,194.01,215.36,8.85,9.3,0.03,9.35,940.78,75.0996,72.9092,502.915,0.0,0.0,2.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
3,150,1000,1000,0,-1134.14,-198.5,-101.98,-760.71,84.8,177.49,-302.07,-113.58,-98.62,8.65,183.24,222.69,9.17,8.62,0.02,8.65,1410.89,74.3063,71.8685,524.94,0.0,0.0,2.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
4,200,1000,1000,0,-777.8,-90.27,12.42,-590.95,209.27,325.37,-180.13,-106.64,-45.51,11.98,208.5,240.58,8.72,8.73,0.04,8.78,1883.21,73.0823,71.9994,575.195,0.0,0.0,2.2,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
5,250,1000,1000,0,-1069.43,-174.51,-57.01,-702.31,127.76,262.02,-432.32,-97.88,-57.87,-151.63,217.86,261.5,8.9,8.64,0.02,8.7,2361.09,72.9503,72.085,623.398,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
6,300,1000,1000,0,-1002.93,-158.16,-79.52,-700.71,149.9,240.15,-244.66,-97.23,-62.52,50.43,225.11,270.51,9.23,8.9,0.04,8.95,2839.29,73.0904,72.2658,655.707,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
7,350,1000,1000,0,-966.75,-223.6,-19.93,-603.32,86.89,305.17,-534.06,-108.13,-53.08,-158.62,216.18,268.02,8.8,10.25,0.03,10.42,3319.32,73.6584,72.3916,647.209,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
8,400,1000,1000,0,-1344.76,-182.97,-65.74,-876.91,129.89,250.21,-108.46,-95.15,-69.01,58.23,231.07,266.7,9.15,9.4,0.04,9.45,3794.8,73.4795,72.7806,649.368,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
9,450,1000,1000,0,-1337.75,-108.31,-15.89,-860.79,212.11,312.21,-229.84,-104.47,-67.47,51.55,226.67,269.4,9.31,8.63,0.04,8.68,4270.0,74.0459,73.0517,662.781,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
10,500,1000,1000,0,-990.19,-196.98,-74.37,-623.52,125.84,269.1,-235.81,-104.47,-66.52,74.44,228.72,270.54,9.27,10.17,0.04,10.21,4742.03,73.6186,77.0827,616.205,0.0,0.0,2.6,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
11,550,1000,1000,0,-1132.2,-120.57,-61.56,-831.85,204.56,273.55,-317.18,-103.03,-67.52,43.64,231.94,265.24,9.21,9.67,0.03,9.75,5226.5,73.7002,72.9236,629.904,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
12,600,1000,1000,0,-1352.92,-104.94,-2.95,-901.95,223.47,342.6,-263.61,-111.58,-90.63,33.53,231.55,270.64,9.01,8.52,0.03,8.57,5698.63,77.728,78.4717,658.261,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
13,650,1000,1000,0,-874.44,-134.66,-35.02,-502.71,190.76,326.39,-255.77,-107.35,-72.94,48.35,241.93,276.13,9.04,8.87,0.03,8.92,6164.06,79.4984,78.4195,679.252,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
14,700,1000,1000,0,-1059.32,-218.41,-109.78,-813.52,125.14,258.43,-9.82,-117.15,-89.28,24.03,244.95,279.29,9.33,8.49,0.02,8.54,6631.53,77.8032,76.9342,670.908,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
15,750,1000,1000,0,-553.03,-212.38,30.48,-284.66,122.46,283.13,-264.22,-100.26,-72.64,63.33,245.4,283.69,9.0,8.56,0.04,8.61,7106.08,84.6659,83.7759,675.929,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
16,800,1000,1000,0,-663.53,-278.0,-202.45,-352.53,91.95,199.71,-140.73,-134.83,-144.51,67.53,252.18,290.57,9.36,8.8,0.04,8.85,7584.62,77.8283,77.1192,694.559,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
17,850,1000,1000,0,-863.03,-153.29,-69.98,-471.88,219.45,324.91,-299.23,-137.76,-118.49,8.2,259.15,289.09,9.36,8.86,0.03,8.93,8069.71,78.0008,77.0346,688.284,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
18,900,1000,1000,0,-785.86,-277.12,-81.09,-450.89,73.26,262.0,-309.53,-128.39,-53.92,64.22,227.44,289.51,8.63,8.45,0.04,8.51,8552.0,85.3388,83.5745,705.923,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
19,950,1000,1000,0,-856.94,-106.92,120.02,-532.74,172.74,322.33,-298.32,-8.1,105.83,70.16,260.27,292.8,6.98,6.56,0.06,6.62,8982.49,88.0974,87.4351,721.919,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
20,1000,1000,1000,0,-886.68,-18.66,147.27,-581.72,234.84,384.3,-453.33,64.19,120.24,-11.5,263.57,297.24,6.87,5.39,0.04,5.45,9327.79,88.6942,88.101,715.998,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
21,1050,1000,1000,0,-794.62,-63.17,111.47,-386.66,183.29,284.91,-279.89,49.53,126.41,68.62,263.25,304.24,6.61,5.5,0.04,5.56,9653.22,88.9506,87.3812,714.056,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
22,1100,1000,1000,0,-1217.87,-52.03,103.4,-908.77,160.25,290.08,-253.92,71.04,120.72,73.08,270.51,298.75,5.54,5.12,0.04,5.17,9980.96,89.568,87.5632,723.286,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
23,1150,1000,1000,0,-938.95,-49.88,148.68,-631.05,191.41,388.1,-265.24,59.76,119.24,2.3,264.95,298.43,6.04,5.18,0.04,5.23,10293.76,88.6664,87.9721,712.76,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
24,1200,1000,1000,0,-793.93,-53.52,111.44,-362.96,154.66,291.5,-267.02,67.13,103.62,14.55,262.66,299.75,5.43,5.0,0.04,5.07,10610.83,88.3383,87.8175,719.224,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
25,1250,1000,1000,0,-760.09,-58.59,114.61,-340.84,154.9,305.41,-140.08,61.66,98.18,22.07,266.07,302.19,5.49,4.76,0.03,4.82,10932.72,88.8315,87.5126,726.057,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
26,1300,1000,1000,0,-871.45,-62.57,67.56,-430.89,163.63,272.29,-302.27,65.66,110.61,79.97,264.04,298.0,6.68,5.2,0.04,5.25,11243.61,89.1126,87.4821,695.272,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
27,1350,1000,1000,0,-1325.58,-74.17,121.83,-888.46,126.2,308.47,-305.51,72.09,93.4,73.88,269.74,298.64,5.08,4.74,0.03,4.8,11570.87,89.2243,87.9855,716.016,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
28,1400,1000,1000,0,-814.36,-52.41,101.71,-569.74,165.96,276.84,-337.25,76.67,106.93,70.53,274.39,300.35,5.6,4.78,0.03,4.86,11900.65,88.4622,88.4205,718.484,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
29,1450,1000,1000,0,-967.78,-2.1,158.45,-620.25,284.52,387.48,-217.23,71.51,118.61,50.89,272.99,302.88,7.31,5.06,0.07,5.12,12220.75,88.5537,88.2641,721.608,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
30,1500,1000,1000,0,-751.75,-79.81,67.38,-474.1,129.87,232.9,-77.61,53.19,124.53,55.88,262.06,300.66,5.77,5.17,0.05,5.24,12546.17,88.6579,88.3339,712.373,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
31,1550,1000,1000,0,-791.27,-40.88,132.99,-377.92,222.7,350.8,-413.49,57.04,122.79,68.07,269.06,297.52,6.64,5.81,0.04,5.88,12870.05,89.0535,87.7403,721.969,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
32,1600,1000,1000,0,-987.66,-79.18,98.54,-662.04,184.22,290.99,-375.39,38.72,87.12,49.3,257.81,300.06,7.08,5.48,0.05,5.57,13200.75,89.2386,88.6265,724.667,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
33,1650,1000,1000,0,-803.92,-24.33,119.57,-372.65,254.31,369.9,-161.71,54.9,106.85,46.58,272.11,304.21,6.9,5.4,0.03,5.48,13530.46,88.6333,88.2958,719.196,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
34,1700,1000,1000,0,-742.85,-72.14,56.07,-342.12,136.74,213.36,-22.03,64.36,127.34,68.28,269.45,304.49,5.37,4.86,0.04,4.94,13849.32,88.9383,87.9809,727.514,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
35,1750,1000,1000,0,-877.77,-41.19,98.2,-458.8,212.0,293.05,-240.14,67.91,122.28,66.98,272.41,299.95,6.17,5.09,0.04,5.17,14177.57,88.7649,88.7144,702.817,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
36,1800,1000,1000,0,-846.45,-42.09,134.62,-485.94,229.52,325.67,-247.47,61.99,94.11,-18.62,263.37,298.94,6.99,5.34,0.04,5.41,14498.2,88.9066,88.1106,711.552,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
37,1850,1000,1000,0,-941.07,-9.59,146.64,-535.08,277.07,391.78,-400.2,61.59,107.38,62.5,269.46,304.58,7.33,5.4,0.04,5.48,14822.1,88.6759,87.8799,719.823,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
38,1900,1000,1000,0,-851.41,-86.25,66.79,-431.1,115.18,239.46,-345.38,65.85,113.49,68.67,269.5,300.16,5.21,4.87,0.05,4.94,15146.77,88.3228,87.5667,722.03,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
39,1950,1000,1000,0,-713.95,-54.85,112.38,-384.98,192.39,308.66,-260.35,61.79,87.56,61.24,271.48,298.34,6.39,5.18,0.06,5.26,15462.86,89.2163,87.8367,720.201,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
40,1999,1000,1000,0,-1233.88,-73.43,102.49,-723.88,153.45,294.92,-334.77,60.94,106.88,56.24,265.34,301.74,5.56,5.22,0.06,5.22,15771.93,89.0858,88.4021,730.987,0.0,0.0,3.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
41,0,1000,1000,0,-1042.58,-141.55,-63.58,-888.35,-18.62,102.43,-173.19,-91.2,-16.11,-41.01,28.89,74.9,7.97,20.58,0.02,20.64,28.7,75.302,75.741,82.2795,0.0,0.0,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
42,50,1000,1000,0,-999.44,-166.03,56.74,-743.86,104.34,313.89,-134.55,-140.7,-129.37,49.21,130.14,213.69,18.6,18.33,0.02,18.36,964.71,288.971,282.421,82.7395,1.2,1.0,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
43,100,1000,1000,0,-1120.81,-156.93,-66.46,-756.14,109.12,201.88,-203.49,-52.11,-84.94,53.19,207.5,321.15,13.77,15.7,0.02,15.74,1948.15,584.784,316.808,80.4723,2.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
44,150,1000,1000,0,-485.18,-67.01,102.83,-333.06,196.2,339.92,-246.83,-24.41,69.08,72.0,239.89,327.51,17.49,17.92,0.02,17.96,2846.01,599.196,319.242,83.3142,2.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
45,200,1000,1000,0,-601.06,-134.59,103.11,-340.97,141.65,337.23,-72.84,-24.61,19.79,44.79,253.04,345.83,22.63,21.68,0.02,21.72,3838.61,653.381,322.34,82.0788,2.8,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
46,250,1000,1000,0,-1072.46,-114.58,-19.7,-666.05,172.63,300.83,-271.85,-27.53,77.06,43.42,267.66,364.22,19.54,16.58,0.02,16.62,4857.39,650.763,324.08,82.3222,2.8,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
47,300,1000,1000,0,-590.5,-93.74,14.28,-307.11,194.8,356.7,-157.6,-17.34,27.38,55.78,273.56,368.4,23.51,23.34,0.02,23.37,5963.77,666.99,322.191,82.3356,3.0,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
48,350,1000,1000,0,-799.55,-81.0,-10.85,-518.92,211.1,344.48,-235.42,-24.64,24.95,77.12,283.35,381.73,14.92,21.84,0.02,21.89,7095.9,671.069,322.331,82.1181,2.8,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
49,400,1000,1000,0,-492.7,-87.06,73.57,-290.03,217.58,373.74,-103.78,-18.4,50.82,67.48,296.13,378.25,24.71,17.33,0.02,17.37,8234.76,681.685,320.874,84.4261,3.0,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
50,450,1000,1000,0,-1010.69,-169.52,-33.32,-715.53,132.81,300.81,-322.86,-21.35,81.22,41.94,302.82,403.96,16.54,21.87,0.02,21.92,9360.64,815.418,322.467,82.3319,3.6,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
51,500,1000,1000,0,-634.34,-140.14,-88.72,-284.58,166.5,257.31,-306.44,-15.81,33.74,72.56,298.13,395.63,9.3,8.06,0.03,8.11,10324.85,767.445,320.656,81.7745,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
52,550,1000,1000,0,-572.27,-187.65,-116.47,-213.01,120.83,221.92,-312.02,-12.87,16.55,48.02,310.03,394.11,10.81,11.86,0.02,11.9,11085.31,730.452,321.455,82.0186,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
53,600,1000,1000,0,-650.81,-166.72,-4.24,-284.6,150.67,364.02,-41.44,-18.37,88.65,81.49,307.64,384.89,15.83,21.28,0.02,21.32,11951.59,741.078,323.131,82.5051,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
54,650,1000,1000,0,-626.76,-101.85,-17.81,-279.51,229.51,348.18,-188.95,-18.55,69.31,148.62,318.88,405.44,17.3,18.77,0.02,18.8,12753.42,730.524,322.523,81.9055,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
55,700,1000,1000,0,-521.45,-85.41,-57.21,-143.26,234.44,313.61,-230.99,-18.15,43.45,62.45,314.0,418.44,8.0,7.82,0.03,7.88,13291.07,854.563,321.924,82.1082,4.0,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
56,750,1000,1000,0,-577.22,-84.98,26.57,-234.64,252.83,359.33,-137.88,-21.53,74.6,179.83,325.14,414.98,8.25,8.18,0.03,8.23,13733.35,838.49,322.461,82.1263,3.8,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
57,800,1000,1000,0,-596.61,-125.36,32.2,-320.74,207.26,393.09,-275.98,-30.7,31.56,52.08,311.38,387.23,8.79,8.61,0.03,8.66,14182.02,725.757,322.241,81.8326,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
58,850,1000,1000,0,-535.08,-196.92,-115.52,-296.38,122.0,252.76,-163.76,-23.95,42.24,23.19,316.09,397.21,8.35,8.44,0.03,8.49,14636.06,772.231,321.987,81.4697,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
59,900,1000,1000,0,-855.46,-62.17,28.03,-591.45,268.91,417.02,-180.69,-26.93,52.27,43.73,318.5,410.01,8.58,8.37,0.03,8.42,15087.31,750.917,322.713,81.9366,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
60,950,1000,1000,0,-663.13,-114.81,-15.51,-294.53,218.45,350.03,-200.77,-21.35,16.64,88.91,324.71,406.29,8.95,8.82,0.04,8.87,15551.9,746.307,323.46,83.0946,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
61,1000,1000,1000,0,-641.58,-141.45,-75.65,-250.4,179.96,291.88,-216.9,-9.3,23.19,64.49,327.98,402.94,8.3,8.75,0.04,8.81,16015.81,756.327,323.111,83.3386,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
62,1050,1000,1000,0,-591.16,-74.54,28.98,-204.29,243.62,391.85,-181.56,-6.6,43.08,105.48,328.98,404.85,8.35,8.58,0.04,8.65,16472.97,775.725,323.2,82.6453,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
63,1100,1000,1000,0,-633.07,-108.92,-84.87,-293.23,213.0,281.33,-304.89,-11.93,75.74,79.47,323.41,403.85,8.44,8.55,0.03,8.62,16934.6,695.408,322.611,82.5206,3.0,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
64,1150,1000,1000,0,-553.12,-173.23,-1.57,-204.97,150.07,343.63,-171.41,-17.85,31.93,102.45,324.42,399.33,8.65,9.33,0.04,9.38,17409.26,791.989,322.576,84.3222,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
65,1200,1000,1000,0,-621.52,-146.81,-48.95,-267.3,174.43,325.52,-125.8,-24.05,28.7,167.23,318.64,384.05,9.39,8.81,0.03,8.89,17876.82,742.73,322.643,83.9392,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
66,1250,1000,1000,0,-729.8,-93.92,13.72,-459.42,215.84,377.09,-147.16,-22.44,46.92,2.57,308.89,395.12,9.05,8.8,0.05,8.88,18355.76,753.187,323.45,82.7636,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
67,1300,1000,1000,0,-470.79,-149.42,-75.27,-205.78,173.76,290.81,-188.14,-4.28,96.1,64.17,330.61,401.95,9.04,9.3,0.04,9.36,18837.67,772.213,323.151,82.4161,3.6,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
68,1350,1000,1000,0,-500.79,-113.25,-65.3,-159.73,202.88,302.1,-115.11,-9.9,96.89,54.47,328.83,437.3,9.42,8.79,0.05,8.85,19320.46,788.817,325.029,84.5305,3.6,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
69,1400,1000,1000,0,-831.57,-113.34,-0.81,-510.38,209.45,355.45,-86.66,-16.43,28.69,83.89,320.62,392.73,9.01,8.87,0.05,8.94,19795.9,768.646,325.014,84.5452,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
70,1450,1000,1000,0,-556.4,-227.85,-43.08,-243.81,75.3,320.27,-356.93,-16.74,33.43,12.77,308.57,388.47,8.49,8.57,0.04,8.63,20269.51,696.411,325.647,85.4195,3.0,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
71,1500,1000,1000,0,-899.26,-47.29,26.78,-761.37,258.13,394.4,-165.42,-0.05,50.53,69.45,318.47,395.37,8.44,8.0,0.05,8.07,20730.92,742.655,325.122,82.0964,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
72,1550,1000,1000,0,-703.91,-128.62,-85.09,-362.77,186.79,259.13,-246.16,-4.09,39.59,78.79,323.09,401.56,8.82,8.77,0.05,8.83,21203.75,752.919,323.738,83.7337,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
73,1600,1000,1000,0,-667.39,-162.39,-106.08,-435.04,155.11,259.81,-253.51,-22.85,21.59,17.21,305.12,372.08,9.38,8.5,0.05,8.55,21675.41,708.808,323.129,84.6298,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
74,1650,1000,1000,0,-615.65,-129.28,-62.71,-376.78,175.83,288.32,-54.06,-13.07,35.48,63.86,313.37,387.68,8.32,8.41,0.03,8.48,22137.13,758.809,325.49,85.0162,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
75,1700,1000,1000,0,-459.25,-50.06,25.14,-145.98,257.47,367.69,-190.62,6.48,30.38,71.5,327.92,388.75,8.94,8.12,0.05,8.19,22601.04,746.846,325.993,82.979,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
76,1750,1000,1000,0,-653.0,-125.37,-55.54,-404.68,201.91,315.28,-104.51,-11.24,38.96,22.04,333.41,400.84,8.77,8.72,0.05,8.79,23066.03,797.819,322.66,82.5282,3.6,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
77,1800,1000,1000,0,-511.71,-187.88,-103.18,-260.45,145.4,270.43,-175.81,-32.82,77.74,78.68,310.56,408.22,9.05,9.05,0.04,9.12,23540.1,638.182,322.116,81.8546,2.6,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
78,1850,1000,1000,0,-759.65,-253.76,-125.91,-394.07,74.55,233.52,-226.24,-27.64,15.93,61.24,317.39,391.11,8.38,8.86,0.05,8.94,24003.3,760.419,323.837,86.0149,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
79,1900,1000,1000,0,-513.67,-0.62,156.65,-140.0,318.33,500.72,-255.09,-9.63,55.69,74.04,330.28,405.68,8.57,8.41,0.04,8.46,24476.66,749.942,323.121,82.7617,3.2,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
80,1950,1000,1000,0,-1113.11,-178.68,-33.32,-762.16,151.41,297.69,-199.73,-19.16,36.74,85.52,325.63,407.53,9.58,9.21,0.05,9.28,24947.18,754.34,322.671,82.114,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
81,1999,1000,1000,0,-601.98,-135.69,-42.72,-272.68,197.19,331.05,-207.16,-17.06,39.13,104.78,325.11,402.03,10.73,8.66,0.05,8.66,25415.62,802.516,325.051,83.2652,3.4,1.2,0.0,half_cheetah,1,Tourn.MAPLE,Naive,twoTasks,,,,
82,0,1000,1000,0,-807.43,-140.87,-49.81,-567.92,-16.75,76.09,-242.32,-97.89,-47.67,-63.7,27.38,77.23,7.31,7.35,0.02,7.4,14.79,75.4373,74.4485,82.9407,0.0,0.0,0.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
83,50,1000,1000,0,-1106.17,-276.8,-134.4,-922.69,44.85,194.02,-289.81,-126.0,-41.03,-104.68,197.56,288.89,8.58,8.38,0.02,8.42,438.21,72.5549,71.7313,717.585,0.0,0.0,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
84,100,1000,1000,0,-1185.01,-71.88,82.37,-907.01,243.59,411.34,-269.7,-63.85,-22.92,-18.89,257.89,300.94,9.02,8.72,0.02,8.75,892.14,72.8633,71.8893,735.065,0.0,0.0,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
85,150,1000,1000,0,-835.55,-256.25,-99.15,-643.97,68.9,211.78,-324.67,-105.31,57.8,34.97,240.29,294.47,9.01,8.71,0.02,8.76,1351.85,105.259,72.9975,726.76,0.2,0.0,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
86,200,1000,1000,0,-1260.77,-109.29,111.21,-908.31,211.18,479.34,-400.51,-6.71,54.86,-54.51,298.17,427.69,7.83,6.96,0.02,7.0,1760.44,330.021,366.795,702.517,1.4,1.4,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
87,250,1000,1000,0,-1124.74,-111.07,173.62,-915.63,170.95,547.4,-161.65,32.42,105.6,-4.16,328.26,452.08,7.54,7.21,0.03,7.25,2160.53,296.736,496.185,725.868,1.0,2.0,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
88,300,1000,1000,0,-1199.12,-172.94,105.23,-919.73,129.29,480.29,-256.9,9.35,104.4,-55.01,322.65,464.8,7.57,7.19,0.03,7.23,2558.87,335.318,458.77,715.476,1.2,1.6,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
89,350,1000,1000,0,-1182.39,-121.34,126.62,-912.72,170.87,522.12,-697.3,37.49,154.48,-311.46,360.57,513.11,7.77,7.7,0.03,7.76,2976.31,368.36,416.86,696.584,1.4,1.6,3.2,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
90,400,1000,1000,0,-1165.46,-129.15,158.37,-849.09,189.7,545.29,-321.37,39.72,127.12,31.31,371.29,523.5,7.82,7.45,0.02,7.49,3382.94,397.787,484.338,714.834,1.6,2.0,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
91,450,1000,1000,0,-1245.64,-122.87,135.3,-894.81,225.38,539.53,-502.93,38.29,146.02,-264.76,381.5,527.37,8.47,7.82,0.02,7.86,3792.42,383.822,541.032,740.339,1.6,2.2,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
92,500,1000,1000,0,-1121.91,-109.65,157.44,-887.39,223.06,559.18,-128.53,48.88,141.21,49.84,390.73,528.32,7.84,7.57,0.02,7.63,4209.55,430.314,493.537,718.538,1.6,2.0,3.0,half_cheetah,2,Tourn.MAPLE,Naive,twoTasks,,,,
