environment,tasksTrained,folder,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,fiveTasks,naive_tournament_maple,0,0,83,665.382,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,88,340.59,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,84,480.506,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,89,115.791,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,85,644.606,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,86,459.493,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,87,472.602,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,90,425.542,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,91,864.527,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,92,172.49,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,95,655.498,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,2,63.0702,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,97,308.018,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,93,669.22,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,94,723.13,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,96,529.133,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,98,830.252,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,0,99,470.351,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,5,269.783,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,0,465.927,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,1,657.392,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,3,665.845,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,4,675.226,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,14,49.894,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,10,121.952,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,7,52.9204,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,6,446.212,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,8,422.865,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,17,239.635,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,9,513.475,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,11,492.319,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,12,888.33,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,21,46.7361,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,13,491.234,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,15,681.685,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,16,654.172,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,18,672.153,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,19,271.864,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,20,444.636,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,22,658.659,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,23,475.356,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,24,279.441,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,25,459.685,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,26,672.545,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,27,261.854,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,37,123.443,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,28,674.574,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,29,633.915,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,30,464.568,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,32,477.397,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,31,472.768,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,33,272.085,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,34,605.249,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,39,272.158,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,35,473.629,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,36,463.263,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,38,461.438,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,40,474.649,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,41,259.59,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,43,307.157,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,42,859.556,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,44,456.017,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,45,869.939,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,46,896.329,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,48,267.761,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,47,459.784,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,50,1083.75,5.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,49,298.853,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,52,432.415,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,51,480.103,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,53,251.925,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,55,422.061,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,54,480.178,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,56,678.855,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,60,239.22,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,58,431.97,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,57,266.475,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,59,124.977,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,61,263.676,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,62,519.817,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,63,497.886,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,64,682.859,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,65,261.836,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,66,479.968,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,67,273.758,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,68,669.48,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,69,686.141,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,70,461.4,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,71,464.27,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,72,275.361,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,73,271.445,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,75,266.749,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,74,262.252,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,76,373.136,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,77,483.725,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,78,511.834,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,79,264.072,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,80,676.985,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,81,542.146,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,82,484.764,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,84,472.021,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,83,256.09,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,85,299.208,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,86,467.932,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,91,33.7704,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,87,861.274,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,88,856.405,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,89,682.543,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,90,312.557,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,92,259.929,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,93,665.094,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,94,867.283,4.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,97,33.1935,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,95,638.165,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,96,57.2707,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,98,227.643,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,1,99,675.393,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,0,72.1757,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,1,79.8679,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,2,81.9788,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,4,74.8395,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,3,70.7481,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,5,72.327,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,6,70.2862,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,7,70.4671,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,8,74.6686,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,9,82.3565,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,11,73.1539,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,10,80.4707,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,12,81.4301,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,13,78.4187,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,14,75.5209,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,15,70.6043,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,16,76.7444,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,17,78.0192,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,18,70.0836,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,19,74.6129,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,20,66.5914,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,21,68.8095,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,22,72.8269,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,23,81.7115,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,24,74.1649,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,32,38.6115,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,25,63.515,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,27,69.2089,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,26,78.4063,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,28,62.5514,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,29,80.6962,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,30,74.1654,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,31,82.3885,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,33,67.6661,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,34,82.6986,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,35,76.0497,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,37,74.7622,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,36,65.7088,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,38,65.6353,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,39,65.3906,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,41,81.3839,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,40,70.3614,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,43,80.1955,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,42,80.3684,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,44,76.2369,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,46,63.2821,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,45,66.7536,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,47,65.585,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,48,75.3968,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,50,62.7999,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,49,67.4716,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,51,70.9051,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,52,67.2512,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,53,69.0453,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,55,72.5204,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,54,64.798,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,57,73.5867,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,56,77.5597,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,58,79.4578,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,60,64.9278,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,59,71.8237,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,63,69.969,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,61,68.5767,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,62,78.8644,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,64,77.0321,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,65,68.8645,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,66,65.6226,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,67,71.5861,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,68,80.9673,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,70,68.4987,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,69,65.936,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,71,62.6509,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,72,72.862,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,73,65.7907,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,74,78.9385,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,75,63.6096,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,76,72.713,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,77,77.1554,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,78,81.5482,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,79,64.9711,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,80,75.0328,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,81,82.0675,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,82,64.332,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,83,73.8004,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,84,69.9135,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,86,68.3444,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,85,76.6382,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,88,81.1583,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,87,81.4975,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,89,71.1015,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,91,66.39,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,90,72.0008,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,92,70.1073,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,1,90.3427,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,94,63.0699,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,93,76.2309,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,3,119.807,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,0,274.432,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,95,65.0203,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,97,75.0861,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,96,71.9186,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,98,64.3472,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,4,575.348,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,2,99,65.5783,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,2,291.369,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,12,130.218,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,5,295.962,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,6,414.589,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,8,282.315,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,15,64.8772,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,7,283.293,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,10,284.39,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,9,467.484,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,13,244.541,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,11,459.408,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,20,62.086,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,14,425.497,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,16,258.009,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,21,178.78,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,18,380.824,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,17,391.007,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,19,369.706,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,24,482.566,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,22,87.4471,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,23,474.441,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,33,68.2587,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,29,273.389,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,25,424.149,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,27,273.204,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,26,290.035,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,28,296.876,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,38,49.0928,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,31,97.866,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,30,279.96,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,32,79.4557,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,40,68.2933,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,34,463.812,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,35,128.361,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,36,291.747,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,42,319.09,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,37,92.3679,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,47,74.3985,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,39,303.811,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,50,62.7342,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,41,466.338,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,46,292.12,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,45,274.033,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,43,297.674,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,44,265.339,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,51,124.755,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,54,50.591,0.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,48,562.934,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,53,264.587,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,49,478.951,2.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,52,282.504,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,55,294.689,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,56,274.072,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,61,332.515,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,59,282.177,1.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,57,606.019,3.0
half_cheetah,fiveTasks,naive_tournament_maple,0,3,58,480.711,2.0
